GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Book,client.book,SoapClientBookConfig,30,0,0,0,10,0,3,0,3,0
Book,client.book,BookClient,88,0,0,0,21,0,6,0,6,0
Book,action.admin,User,305,0,18,0,59,0,23,0,14,0
Book,action.admin,Book,216,0,0,0,39,0,12,0,12,0
Book,com.library,InputSOAUserAdd,10,0,0,0,4,0,3,0,3,0
Book,com.library,InputSOAUserById,10,0,0,0,4,0,3,0,3,0
Book,com.library,SOAShopByIdEndpointService,87,0,2,0,27,0,11,0,10,0
Book,com.library,SOARentbookLateEndpointService,87,0,2,0,27,0,11,0,10,0
Book,com.library,InputSOAShopAdd,10,0,0,0,4,0,3,0,3,0
Book,com.library,SOABookSearchEndpointService,87,0,2,0,27,0,11,0,10,0
Book,com.library,InputSOABookDel,10,0,0,0,4,0,3,0,3,0
Book,com.library,InputSOAShopTest,10,0,0,0,4,0,3,0,3,0
Book,com.library,OutputSOAShopDelConfirm,10,0,0,0,4,0,3,0,3,0
Book,com.library,OutputSOARentbook,14,0,2,0,4,0,3,0,2,0
Book,com.library,SOABookdelEndpointService,87,0,2,0,27,0,11,0,10,0
Book,com.library,OutputSOAShopAddConfirm,10,0,0,0,4,0,3,0,3,0
Book,com.library,SOAUserdelEndpointService,87,0,2,0,27,0,11,0,10,0
Book,com.library,OutputSOAShopTest,10,0,0,0,4,0,3,0,3,0
Book,com.library,SOABookEndpointService,87,0,2,0,27,0,11,0,10,0
Book,com.library,SOARentbookBackEndpointService,87,0,2,0,27,0,11,0,10,0
Book,com.library,SOAShopSearchEndpointService,87,0,2,0,27,0,11,0,10,0
Book,com.library,InputSOAUserTest,10,0,0,0,4,0,3,0,3,0
Book,com.library,SOAShopTestEndpointService,87,0,2,0,27,0,11,0,10,0
